free_time,station_name,time,city,label
0.5,Warakapola AC,16:05,Warakapola,tea/coffee shop
3.0,Matara Town Hall,11:45,Matara,"lunch, shopping"
5.0,Kataragama Center,12:15,Kataragama,visit beautiful place
2.5,Dutch Hospital,16:30,Colombo,watch film
3.5,Bambalapitiya RZ,21:45,Bambalapitiya,visit beautiful place
2.0,Dambulla DC,22:45,Dambulla,shopping
4.0,Hanwella AC,20:00,Hanwella,visit beautiful place
1.5,Anuradhapura DC,20:45,Anuradhapura,dinner
3.0,Tambuttegama DC,19:00,Tambuttegama,"dinner, shopping"
3.0,Vavuniya Town DC,19:15,Vavuniya,"dinner, shopping"
0.5,Teldeniya AC,06:52,Teldeniya,tea/coffee shop
2.75,Habarana DC,08:15,Habarana,"breakfast, visit beautiful place"
0.5,Kandy Gatambe,22:41,Kandy,tea/coffee shop
2.5,Ratmalana DC,21:30,Ratmalana,"dinner, shopping"
4.5,Galle Fort AC,08:30,Galle,visit beautiful place
2.5,Nugegoda High Level,13:45,Nugegoda,"lunch, shopping"
0.5,Horana Town,22:22,Horana,tea/coffee shop
0.5,Mannar AC,06:22,Mannar,tea/coffee shop
1.0,Galle Fort AC,08:00,Galle,breakfast
4.5,Dickwella DC,11:45,Dickwella,"watch film, visit beautiful place"
0.75,Pottuvil DC,21:30,Pottuvil,dinner
3.0,Kattankudy AC,21:30,Kattankudy,"dinner, shopping"
2.5,Kalmunai Center,21:30,Kalmunai,"dinner, shopping"
3.0,Talawakele DC,15:45,Talawakele,visit beautiful place
0.25,Balangoda AC,10:15,Balangoda,none
3.0,Kilinochchi Center,21:15,Kilinochchi,"dinner, shopping"
5.0,Wattala K Zone,19:00,Wattala,"watch film, visit beautiful place"
0.5,Kurunegala Lake Rd,06:11,Kurunegala,tea/coffee shop
0.25,Batticaloa City,08:00,Batticaloa,none
0.5,Peradeniya Junction,16:43,Peradeniya,tea/coffee shop
1.5,Padukka Center,12:00,Padukka,lunch
0.5,Kadawatha Highway,15:31,Kadawatha,tea/coffee shop
3.0,Sigiriya Jn,09:30,Sigiriya,visit beautiful place
1.0,Rajagiriya Flyover,07:45,Rajagiriya,breakfast
2.5,Arugam Bay AC,06:45,Arugam Bay,visit beautiful place
2.0,Haputale View,11:45,Haputale,lunch
2.5,Galle Fort AC,12:30,Galle,"lunch, shopping"
3.0,Nikaweratiya AC,18:45,Nikaweratiya,visit beautiful place
2.5,Tissamaharama DC,09:45,Tissamaharama,visit beautiful place
4.0,Balangoda AC,14:00,Balangoda,"watch film, visit beautiful place"
0.75,Habarana DC,07:45,Habarana,"breakfast, tea/coffee shop"
2.0,Digana DC,20:30,Digana,dinner
5.0,Kegalle Town,10:00,Kegalle,visit beautiful place
0.25,Kalutara South,13:30,Kalutara,none
2.0,Mullaitivu DC,07:45,Mullaitivu,breakfast
3.0,Ella Station,11:15,Ella,"lunch, shopping"
4.5,Habarana DC,19:00,Habarana,"watch film, visit beautiful place"
0.75,Kurunegala Lake Rd,08:00,Kurunegala,"breakfast, tea/coffee shop"
2.5,Weligama Bay,11:30,Weligama,"lunch, shopping"
2.5,Kosgama DC,15:30,Kosgama,visit beautiful place
1.0,Ampara DC,12:45,Ampara,lunch
3.5,Tissamaharama DC,08:00,Tissamaharama,visit beautiful place
2.5,Kurunegala Lake Rd,16:30,Kurunegala,watch film
0.75,Matara Town Hall,19:15,Matara,dinner
0.5,Bandarawela Town,06:02,Bandarawela,tea/coffee shop
0.25,Passara DC,13:00,Passara,none
3.5,Kurunegala Town,09:15,Kurunegala,visit beautiful place
4.0,Mirissa Beach,09:15,Mirissa,visit beautiful place
1.5,Kadawatha Highway,12:45,Kadawatha,lunch
4.0,Station B,09:15,Colombo,visit beautiful place
5.0,Kataragama Center,16:30,Kataragama,"watch film, visit beautiful place"
2.5,Hatton Bus Stand,11:15,Hatton,"lunch, shopping"
4.5,Aluthgama Bridge,19:45,Aluthgama,visit beautiful place
2.75,Batticaloa City,09:45,Batticaloa,visit beautiful place
3.0,Balangoda AC,19:00,Balangoda,"dinner, shopping"
3.0,Hatton Bus Stand,13:30,Hatton,"lunch, shopping"
4.0,Kottawa Interchange,20:45,Kottawa,visit beautiful place
0.5,Pannipitiya Station,15:47,Pannipitiya,tea/coffee shop
0.25,Liberty Plaza AC,05:00,Colombo,none
1.5,Station B,11:00,Colombo,lunch
2.75,Kosgama DC,15:15,Kosgama,visit beautiful place
5.0,Nawalapitiya Town,21:30,Nawalapitiya,"watch film, visit beautiful place"
0.5,Hambantota Port,06:48,Hambantota,tea/coffee shop
2.5,Badulla Main DC,14:00,Badulla,"lunch, shopping"
2.75,Tambuttegama DC,11:45,Tambuttegama,"lunch, visit beautiful place"
0.5,Piliyandala Town,22:12,Piliyandala,tea/coffee shop
1.5,Weligama Bay,11:45,Weligama,lunch
2.5,Weligama Bay,21:15,Weligama,"dinner, shopping"
3.0,Dutch Hospital,14:30,Colombo,"lunch, shopping"
1.5,Station B,12:15,Colombo,lunch
5.0,Trincomalee Town,08:15,Trincomalee,visit beautiful place
2.0,Hikkaduwa AC,14:30,Hikkaduwa,lunch
2.0,Liberty Plaza AC,11:15,Colombo,lunch
0.75,Maharagama City,07:00,Maharagama,"breakfast, tea/coffee shop"
1.5,Aluthgama Bridge,11:00,Aluthgama,lunch
5.0,Bandarawela Town,11:45,Bandarawela,"watch film, visit beautiful place"
2.0,Avissawella Center,15:30,Avissawella,shopping
1.0,Kandy Gatambe,07:45,Kandy,breakfast
0.25,Station A,14:45,Colombo,none
1.5,Kalmunai Center,09:15,Kalmunai,shopping
4.0,Mannar AC,16:00,Mannar,visit beautiful place
4.0,Pussellawa AC,19:00,Pussellawa,"watch film, visit beautiful place"
2.0,Digana DC,12:30,Digana,lunch
2.5,Teldeniya AC,20:45,Teldeniya,"dinner, shopping"
3.0,Veyangoda Station,13:30,Veyangoda,"lunch, shopping"
2.5,Kalutara South,11:15,Kalutara,"lunch, shopping"
1.0,Galle Fort AC,16:00,Galle,shopping
2.75,Beruwala Beach,14:00,Beruwala,"lunch, visit beautiful place"
0.25,Nuwara Eliya Grand,19:15,Nuwara Eliya,none
2.0,Kinniya AC,07:30,Kinniya,breakfast
1.5,Galle Bus Stand,12:00,Galle,lunch
2.75,Avissawella Center,14:00,Avissawella,"lunch, visit beautiful place"
0.25,Piliyandala Town,05:15,Piliyandala,none
4.5,Hanwella AC,21:30,Hanwella,"watch film, visit beautiful place"
1.0,Nivitigala AC,20:45,Nivitigala,dinner
2.0,Polonnaruwa Center,14:45,Polonnaruwa,lunch
0.5,Kalmunai Center,22:33,Kalmunai,tea/coffee shop
3.5,Kottawa Interchange,21:30,Kottawa,"watch film, visit beautiful place"
0.25,Horana Town,18:00,Horana,none
2.0,Matara Town Hall,14:15,Matara,lunch
2.5,Biyagama Factory,19:15,Biyagama,"dinner, shopping"
2.5,Liberty Plaza AC,17:30,Colombo,visit beautiful place
0.25,Dutch Hospital,12:30,Colombo,none
4.0,Homagama Center,16:30,Homagama,"watch film, visit beautiful place"
1.0,Gampaha Town,14:00,Gampaha,lunch
1.5,Horana Town,07:15,Horana,breakfast
3.0,Monaragala DC,16:30,Monaragala,watch film
5.0,Matara Town Hall,16:30,Matara,"watch film, visit beautiful place"
0.25,Talawakele DC,22:45,Talawakele,none
3.0,Galle Bus Stand,19:00,Galle,"dinner, shopping"
0.5,Maharagama City,22:19,Maharagama,tea/coffee shop
1.0,Hatton Bus Stand,12:30,Hatton,lunch
4.0,Passara DC,13:00,Passara,visit beautiful place
0.5,Puttalam Lagoon,06:46,Puttalam,tea/coffee shop
0.5,Jaffna Library AC,06:15,Jaffna,tea/coffee shop
2.75,Piliyandala Town,06:45,Piliyandala,visit beautiful place
4.0,Dehiwala Junction,15:30,Dehiwala,visit beautiful place
3.0,Nikaweratiya AC,13:45,Nikaweratiya,"lunch, shopping"
0.5,Homagama Godagama,01:01,Homagama,tea/coffee shop
1.5,Arugam Bay AC,13:45,Arugam Bay,lunch
0.75,Arugam Bay AC,12:00,Arugam Bay,lunch
2.5,Chavakachcheri AC,12:45,Chavakachcheri,"lunch, shopping"
0.75,Wattala K Zone,19:15,Wattala,dinner
0.75,Muttur DC,14:45,Muttur,lunch
2.0,Rajagiriya Flyover,13:45,Rajagiriya,lunch
2.75,Balangoda AC,07:00,Balangoda,"breakfast, visit beautiful place"
0.75,Godakawela AC,21:45,Godakawela,dinner
2.5,Chilaw City,14:00,Chilaw,"lunch, shopping"
1.5,Embilipitiya DC,11:30,Embilipitiya,lunch
3.5,Mihintale AC,21:15,Mihintale,visit beautiful place
5.0,Anamaduwa DC,12:30,Anamaduwa,visit beautiful place
2.75,Gampaha Town,14:45,Gampaha,"lunch, visit beautiful place"
1.0,Negombo Beach Road,16:45,Negombo,shopping
0.75,Matara Town Hall,08:45,Matara,"breakfast, tea/coffee shop"
0.75,Hatton Bus Stand,07:30,Hatton,"breakfast, tea/coffee shop"
3.0,Kataragama Center,08:00,Kataragama,visit beautiful place
3.0,Kinniya AC,08:45,Kinniya,visit beautiful place
0.5,Maharagama City,16:37,Maharagama,tea/coffee shop
3.5,Tambuttegama DC,10:30,Tambuttegama,visit beautiful place
2.5,Shangri La DC,20:00,Colombo,"dinner, shopping"
1.5,Avissawella Center,12:15,Avissawella,lunch
0.75,Bandarawela Town,13:00,Bandarawela,lunch
1.5,Anuradhapura New Town,22:15,Anuradhapura,shopping
1.5,Station A,20:15,Colombo,dinner
2.5,Mirissa Beach,07:15,Mirissa,visit beautiful place
3.5,Gampaha Town,07:45,Gampaha,visit beautiful place
4.0,Kandy Gatambe,16:45,Kandy,visit beautiful place
4.5,Anamaduwa DC,10:15,Anamaduwa,visit beautiful place
2.5,Kinniya AC,21:45,Kinniya,"dinner, shopping"
3.0,Ratnapura DC,12:45,Ratnapura,"lunch, shopping"
2.75,Veyangoda Station,12:30,Veyangoda,"lunch, visit beautiful place"
1.5,Warakapola AC,14:30,Warakapola,lunch
0.5,Wattala K Zone,22:38,Wattala,tea/coffee shop
0.25,Galenbindunuwewa AC,12:15,Galenbindunuwewa,none
3.5,Pottuvil DC,20:30,Pottuvil,visit beautiful place
0.25,Haputale View,06:00,Haputale,none
0.5,Wattala K Zone,22:37,Wattala,tea/coffee shop
1.5,Vavuniya Town DC,18:45,Vavuniya,shopping
2.5,Anuradhapura New Town,12:30,Anuradhapura,"lunch, shopping"
2.0,Hanwella AC,08:30,Hanwella,breakfast
3.5,Gampola Center,10:15,Gampola,visit beautiful place
2.0,Wennappuwa DC,12:30,Wennappuwa,lunch
5.0,Monaragala DC,20:45,Monaragala,visit beautiful place
1.5,Godakawela AC,11:15,Godakawela,lunch
0.5,Kalutara South,22:58,Kalutara,tea/coffee shop
1.5,Wellawaya AC,13:30,Wellawaya,lunch
0.5,Matale Town,02:44,Matale,tea/coffee shop
2.5,Moratuwa Junction,21:30,Moratuwa,"dinner, shopping"
1.0,Passara DC,07:00,Passara,breakfast
2.75,Panadura Depot,17:45,Panadura,visit beautiful place
2.0,Weligama Bay,12:30,Weligama,lunch
2.75,Ratnapura DC,21:30,Ratnapura,visit beautiful place
0.5,Hanwella AC,06:20,Hanwella,tea/coffee shop
1.0,Jaffna Central DC,08:00,Jaffna,breakfast
0.25,Kalutara South,09:45,Kalutara,none
1.0,Katunayake Airport,12:00,Katunayake,lunch
2.0,Tanamalwila AC,11:30,Tanamalwila,lunch
3.0,Katunayake Airport,13:15,Katunayake,"lunch, shopping"
0.75,Mirissa Beach,21:15,Mirissa,dinner
0.75,Nikaweratiya AC,20:30,Nikaweratiya,dinner
1.5,Marawila AC,18:45,Marawila,shopping
2.0,Wennappuwa DC,13:15,Wennappuwa,lunch
3.5,Kurunegala Town,07:45,Kurunegala,visit beautiful place
1.5,Bandarawela Town,08:00,Bandarawela,breakfast
1.5,Homagama Center,14:00,Homagama,lunch
4.5,Marawila AC,21:30,Marawila,"watch film, visit beautiful place"
2.0,Ratmalana DC,14:30,Ratmalana,lunch
0.5,Wattala K Zone,16:26,Wattala,tea/coffee shop
4.5,Dutch Hospital,14:00,Colombo,"watch film, visit beautiful place"
2.0,Hikkaduwa AC,07:00,Hikkaduwa,breakfast
2.5,Kataragama Center,14:45,Kataragama,"lunch, shopping"
1.0,Ella Station,11:45,Ella,lunch
2.75,Galenbindunuwewa AC,06:30,Galenbindunuwewa,visit beautiful place
0.75,Tambuttegama DC,13:15,Tambuttegama,lunch
1.0,Kinniya AC,13:30,Kinniya,lunch
2.0,Kilinochchi Center,08:00,Kilinochchi,breakfast
2.0,Deniyaya AC,08:15,Deniyaya,breakfast
3.0,Tissamaharama DC,22:45,Tissamaharama,visit beautiful place
2.75,Homagama Center,11:15,Homagama,"lunch, visit beautiful place"
1.0,Nugegoda High Level,08:15,Nugegoda,breakfast
0.75,Marawila AC,21:15,Marawila,dinner
1.0,Talawakele DC,12:45,Talawakele,lunch
4.0,Digana DC,17:15,Digana,visit beautiful place
0.25,Haputale View,05:15,Haputale,none
2.75,Ella Station,11:45,Ella,"lunch, visit beautiful place"
2.5,Rambukkana DC,11:45,Rambukkana,"lunch, shopping"
0.25,Nedunkeni AC,08:15,Nedunkeni,none
2.0,Nivitigala AC,11:00,Nivitigala,lunch
3.0,Padukka Center,15:00,Padukka,visit beautiful place
0.5,Kadawatha Highway,16:51,Kadawatha,tea/coffee shop
2.75,Ella Station,07:30,Ella,"breakfast, visit beautiful place"
0.5,Hambantota Port,16:28,Hambantota,tea/coffee shop
3.0,Moratuwa Junction,11:15,Moratuwa,"lunch, shopping"
2.5,Galle Bus Stand,10:00,Galle,visit beautiful place
1.5,Dambulla DC,12:15,Dambulla,lunch
1.0,Aluthgama Bridge,12:15,Aluthgama,lunch
2.75,Batticaloa City,14:00,Batticaloa,"lunch, visit beautiful place"
2.5,Biyagama Factory,13:45,Biyagama,"lunch, shopping"
0.25,Rambukkana DC,08:45,Rambukkana,none
2.0,Anuradhapura New Town,08:30,Anuradhapura,breakfast
1.5,Bambalapitiya RZ,08:30,Bambalapitiya,breakfast
2.0,Bambalapitiya RZ,13:30,Bambalapitiya,lunch
2.0,Kurunegala Town,12:30,Kurunegala,lunch
1.5,Hatton Bus Stand,09:45,Hatton,shopping
2.75,Panadura Depot,08:45,Panadura,"breakfast, visit beautiful place"
2.0,Nedunkeni AC,14:45,Nedunkeni,lunch
2.5,Homagama Center,21:30,Homagama,"dinner, shopping"
3.0,Maskeliya Town,14:00,Maskeliya,"lunch, shopping"
1.5,Bandarawela Town,14:15,Bandarawela,lunch
3.0,Tissamaharama DC,17:45,Tissamaharama,visit beautiful place
3.0,Unawatuna DC,14:30,Unawatuna,"lunch, shopping"
2.75,Kadugannawa AC,05:30,Kadugannawa,visit beautiful place
1.0,Pussellawa AC,07:15,Pussellawa,breakfast
0.5,Arugam Bay AC,06:13,Arugam Bay,tea/coffee shop
2.5,Vavuniya Town DC,21:45,Vavuniya,"dinner, shopping"
0.75,Station A,08:00,Colombo,"breakfast, tea/coffee shop"
4.0,Kottawa Interchange,21:30,Kottawa,"watch film, visit beautiful place"
3.0,Galle Fort AC,19:45,Galle,"dinner, shopping"
2.5,Warakapola AC,11:30,Warakapola,"lunch, shopping"
4.0,Maho Station,18:30,Maho,visit beautiful place
3.0,Jaffna Library AC,16:30,Jaffna,watch film
2.5,Kosgama DC,14:45,Kosgama,"lunch, shopping"
2.0,Anamaduwa DC,08:00,Anamaduwa,breakfast
0.5,Trincomalee Town,06:44,Trincomalee,tea/coffee shop
1.5,Habarana DC,14:15,Habarana,lunch
4.5,Kuliyapitiya Center,20:45,Kuliyapitiya,visit beautiful place
0.5,Wennappuwa DC,06:41,Wennappuwa,tea/coffee shop
3.0,Ambalangoda DC,16:30,Ambalangoda,watch film
0.25,Kuliyapitiya Center,19:15,Kuliyapitiya,none
3.5,Katunayake Airport,19:00,Katunayake,"watch film, visit beautiful place"
1.5,Kandy City Center,08:45,Kandy,breakfast
2.75,Kandy Gatambe,13:15,Kandy,"lunch, visit beautiful place"
4.0,Teldeniya AC,19:00,Teldeniya,"watch film, visit beautiful place"
3.5,Station A,20:30,Colombo,visit beautiful place
0.75,Ampara DC,14:00,Ampara,lunch
2.75,Station C,14:15,Kandy,"lunch, visit beautiful place"
1.5,Beliatta Highway,08:15,Beliatta,breakfast
0.5,Kalmunai Center,06:30,Kalmunai,tea/coffee shop
2.75,Talawakele DC,12:45,Talawakele,"lunch, visit beautiful place"
4.0,Maho Station,15:45,Maho,visit beautiful place
1.0,Kadawatha Highway,06:30,Kadawatha,shopping
2.5,Gampola Center,09:30,Gampola,visit beautiful place
4.0,Kuliyapitiya Center,20:30,Kuliyapitiya,visit beautiful place
0.75,Eheliyagoda DC,08:00,Eheliyagoda,"breakfast, tea/coffee shop"
2.0,Trincomalee Town,13:30,Trincomalee,lunch
1.0,Katunayake Airport,08:15,Katunayake,breakfast
3.0,Unawatuna DC,21:15,Unawatuna,"dinner, shopping"
2.75,Nuwara Eliya Grand,18:30,Nuwara Eliya,visit beautiful place
5.0,Eheliyagoda DC,07:30,Eheliyagoda,visit beautiful place
0.5,Mullaitivu DC,06:43,Mullaitivu,tea/coffee shop
0.5,Kekirawa AC,15:32,Kekirawa,tea/coffee shop
5.0,Panadura Depot,21:30,Panadura,"watch film, visit beautiful place"
2.0,Dambulla DC,08:15,Dambulla,breakfast
0.5,Kottawa Interchange,04:50,Kottawa,tea/coffee shop
1.0,Kurunegala Lake Rd,19:15,Kurunegala,dinner
2.75,Kataragama Center,08:15,Kataragama,"breakfast, visit beautiful place"
1.5,Kalmunai Center,13:15,Kalmunai,lunch
4.5,Pussellawa AC,09:00,Pussellawa,visit beautiful place
1.0,Anuradhapura DC,07:30,Anuradhapura,breakfast
1.5,Wellawaya AC,19:15,Wellawaya,dinner
1.5,Kottawa Interchange,12:30,Kottawa,lunch
4.5,Moratuwa Junction,07:15,Moratuwa,visit beautiful place
2.5,Nugegoda High Level,22:00,Nugegoda,visit beautiful place
3.0,Anamaduwa DC,22:15,Anamaduwa,visit beautiful place
0.25,Akuressa Center,12:30,Akuressa,none
1.0,Kuliyapitiya Center,13:30,Kuliyapitiya,lunch
0.25,Gampola Center,17:30,Gampola,none
2.75,Ratmalana DC,18:15,Ratmalana,visit beautiful place
3.0,Monaragala DC,16:30,Monaragala,watch film
3.0,Chilaw City,14:00,Chilaw,"lunch, shopping"
0.75,Kosgama DC,13:30,Kosgama,lunch
2.5,Kottawa Interchange,19:00,Kottawa,"dinner, shopping"
3.0,Rajagiriya Flyover,11:15,Rajagiriya,"lunch, shopping"
3.0,Godakawela AC,06:15,Godakawela,visit beautiful place
3.0,Gampaha Town,13:45,Gampaha,"lunch, shopping"
3.0,Batticaloa City,16:30,Batticaloa,watch film
1.0,Bambalapitiya RZ,08:15,Bambalapitiya,breakfast
0.5,Shangri La DC,22:46,Colombo,tea/coffee shop
2.0,Mirissa Beach,21:15,Mirissa,dinner
0.25,Ratmalana DC,06:30,Ratmalana,none
3.5,Aluthgama Bridge,08:30,Aluthgama,visit beautiful place
0.75,Pussellawa AC,20:15,Pussellawa,dinner
0.5,Ambalangoda DC,17:31,Ambalangoda,tea/coffee shop
0.5,Polonnaruwa Center,16:24,Polonnaruwa,tea/coffee shop
0.5,Kadawatha Highway,06:06,Kadawatha,tea/coffee shop
1.0,Hanwella AC,08:00,Hanwella,breakfast
3.0,Digana DC,16:30,Digana,watch film
1.5,Passara DC,07:00,Passara,breakfast
1.5,CCC Fast Charge,07:45,Colombo,breakfast
3.0,Ella Station,21:30,Ella,"dinner, shopping"
1.0,Talawakele DC,07:00,Talawakele,breakfast
5.0,Maho Station,21:30,Maho,"watch film, visit beautiful place"
2.5,Kurunegala Town,21:30,Kurunegala,"dinner, shopping"
4.0,Kegalle Town,21:15,Kegalle,visit beautiful place
2.75,Muttur DC,13:30,Muttur,"lunch, visit beautiful place"
3.0,Kurunegala Lake Rd,22:15,Kurunegala,visit beautiful place
3.0,Peradeniya Junction,07:00,Peradeniya,visit beautiful place
2.5,Homagama Center,16:30,Homagama,watch film
2.0,Biyagama Factory,12:30,Biyagama,lunch
2.75,Godakawela AC,11:00,Godakawela,"lunch, visit beautiful place"
2.5,Mahiyanganaya AC,14:45,Mahiyanganaya,"lunch, shopping"
0.5,Arugam Bay AC,04:06,Arugam Bay,tea/coffee shop
1.0,Vavuniya Town DC,08:00,Vavuniya,breakfast
0.75,Kinniya AC,11:30,Kinniya,lunch
3.0,Chilaw City,16:15,Chilaw,visit beautiful place
2.75,Muttur DC,13:30,Muttur,"lunch, visit beautiful place"
3.5,Kattankudy AC,13:45,Kattankudy,visit beautiful place
1.0,Eheliyagoda DC,13:45,Eheliyagoda,lunch
1.0,Arugam Bay AC,12:45,Arugam Bay,lunch
2.5,Bambalapitiya RZ,11:00,Bambalapitiya,"lunch, shopping"
1.0,Dickwella DC,11:45,Dickwella,lunch
0.25,Beliatta Highway,17:00,Beliatta,none
3.0,Kandy City Center,16:30,Kandy,watch film
2.0,Mihintale AC,13:15,Mihintale,lunch
0.25,Ratnapura DC,08:00,Ratnapura,none
0.75,Godakawela AC,19:45,Godakawela,dinner
0.5,Peradeniya Junction,15:12,Peradeniya,tea/coffee shop
2.0,Haputale View,21:15,Haputale,dinner
2.0,Pannipitiya Station,07:45,Pannipitiya,breakfast
1.5,Mannar AC,12:45,Mannar,lunch
0.5,Kilinochchi Center,01:33,Kilinochchi,tea/coffee shop
4.0,Marawila AC,16:45,Marawila,visit beautiful place
1.5,Rajagiriya Flyover,14:45,Rajagiriya,lunch
0.75,Mirissa Beach,19:00,Mirissa,dinner
1.0,Badulla Main DC,11:45,Badulla,lunch
4.0,CCC Fast Charge,21:00,Colombo,visit beautiful place
3.0,Hambantota Port,21:30,Hambantota,"dinner, shopping"
2.0,Dehiwala Junction,12:00,Dehiwala,lunch
4.0,Avissawella Center,15:45,Avissawella,visit beautiful place
0.5,Dehiwala Junction,22:55,Dehiwala,tea/coffee shop
2.5,Anuradhapura DC,21:30,Anuradhapura,"dinner, shopping"
4.5,Monaragala DC,21:30,Monaragala,"watch film, visit beautiful place"
1.5,Avissawella Center,11:45,Avissawella,lunch
0.75,Ratmalana DC,13:45,Ratmalana,lunch
3.0,Chilaw City,05:15,Chilaw,visit beautiful place
2.0,Puttalam Lagoon,07:15,Puttalam,breakfast
2.0,Homagama Godagama,13:30,Homagama,lunch
4.0,Nugegoda High Level,19:00,Nugegoda,"watch film, visit beautiful place"
1.5,Pannipitiya Station,20:15,Pannipitiya,dinner
2.5,Shangri La DC,11:00,Colombo,"lunch, shopping"
0.5,Piliyandala Town,00:23,Piliyandala,tea/coffee shop
1.5,Godakawela AC,11:15,Godakawela,lunch
2.75,Sigiriya Jn,13:00,Sigiriya,"lunch, visit beautiful place"
3.5,Dambulla DC,17:30,Dambulla,visit beautiful place
5.0,Shangri La DC,16:30,Colombo,"watch film, visit beautiful place"
5.0,Chilaw City,09:00,Chilaw,visit beautiful place
1.0,Jaffna Central DC,20:15,Jaffna,dinner
2.0,Katunayake Airport,07:00,Katunayake,breakfast
0.5,Mahiyanganaya AC,06:57,Mahiyanganaya,tea/coffee shop
1.5,Dickwella DC,08:45,Dickwella,breakfast
1.5,Negombo Beach Road,21:45,Negombo,dinner
2.0,Kegalle Town,12:15,Kegalle,lunch
3.0,Nuwara Eliya Grand,20:15,Nuwara Eliya,"dinner, shopping"
3.0,Avissawella Center,11:45,Avissawella,"lunch, shopping"
2.75,Kilinochchi Center,14:00,Kilinochchi,"lunch, visit beautiful place"
0.75,CCC Fast Charge,07:45,Colombo,"breakfast, tea/coffee shop"
0.75,Poonakary AC,20:30,Poonakary,dinner
0.75,Dickwella DC,12:30,Dickwella,lunch
4.0,Mahiyanganaya AC,21:30,Mahiyanganaya,"watch film, visit beautiful place"
0.25,Warakapola AC,17:00,Warakapola,none
2.75,Marawila AC,08:15,Marawila,"breakfast, visit beautiful place"
2.75,Kurunegala Lake Rd,08:45,Kurunegala,"breakfast, visit beautiful place"
5.0,Kilinochchi Center,11:15,Kilinochchi,visit beautiful place
0.75,Unawatuna DC,12:00,Unawatuna,lunch
2.75,Nedunkeni AC,08:00,Nedunkeni,"breakfast, visit beautiful place"
5.0,Homagama Center,20:15,Homagama,visit beautiful place
2.75,Kadawatha Highway,11:30,Kadawatha,"lunch, visit beautiful place"
3.0,Nivitigala AC,19:15,Nivitigala,"dinner, shopping"
2.0,Eheliyagoda DC,14:00,Eheliyagoda,lunch
2.5,Gampola Center,08:15,Gampola,visit beautiful place
1.5,Matara Town Hall,14:45,Matara,lunch
3.5,Ella Station,20:30,Ella,visit beautiful place
1.0,Kattankudy AC,18:30,Kattankudy,shopping
